kepid,kepoi_name,kepler_name,koi_period,koi_prad,koi_count
4054784,K07679.01,,1.867994300,0.70,1
7815931,K02861.01,,1.868564038,1.40,1
12061238,K01502.01,,1.876406096,1.57,1
12121470,K02142.01,,1.877350712,1.46,1
11135308,K02805.01,Kepler-1352 b,1.877878538,0.78,1
8845574,K01734.01,,1.878156188,2.51,1
4678919,K04219.01,,1.878853270,0.97,1
4769931,K04058.01,,1.878869730,1.04,1
4946049,K04658.01,,1.878913800,1.90,1
9658192,K07957.01,,1.886002102,0.65,1
11361646,K00330.02,Kepler-524 c,1.888990360,0.83,2
11137061,K07411.01,,1.889122730,0.59,1
3110937,K06305.01,,1.891216560,0.73,1
2708278,K04102.01,,1.891241870,0.93,1
2570767,K06280.01,,1.891244530,1.19,1
2707916,K04950.01,,1.891247380,1.20,1
2708203,K04045.01,,1.891258550,0.81,1
2707985,K03253.01,,1.891274380,2.03,1
2570505,K06279.01,,1.891293380,0.42,1
2708420,K04003.01,,1.891298810,0.86,1
2708343,K04111.01,,1.891318200,0.90,1
3336476,K03247.01,,1.891322920,0.90,1
3437739,K06333.01,,1.891341560,0.99,1
2571075,K06281.01,,1.891342010,0.92,1
6871071,K02220.03,Kepler-374 b,1.897828815,1.73,5
11072016,K04852.01,,1.898731950,0.93,1
5966660,K00656.01,,1.906633332,2.72,1
7269493,K01961.01,Kepler-1027 b,1.907810683,0.91,2
6515722,K03818.01,,1.908525084,3.74,1
11461433,K02399.01,Kepler-1222 b,1.916940872,0.89,1
3103473,K04395.01,,1.920062587,1.12,1
7626370,K01706.01,Kepler-932 b,1.921437488,1.77,1
4243911,K01337.01,Kepler-821 b,1.922799706,1.28,1
6863839,K01373.01,,1.926353494,1.33,1
10934313,K03121.01,,1.926888595,1.31,1
9790806,K02035.01,Kepler-1066 b,1.931555460,2.25,1
8222395,K07873.01,,1.931887680,0.57,1
7871954,K01515.01,Kepler-303 b,1.937029968,0.87,2
5697628,K06615.01,,1.951195410,0.47,1
3346154,K02723.01,Kepler-1871 b,1.952711161,2.58,1
9411166,K01922.01,Kepler-1016 b,1.954525966,2.38,3
5078939,K02438.01,,1.958577398,1.80,1
10220837,K04613.01,Kepler-1963 b,1.962282625,0.81,1
4391348,K02514.01,,1.964331130,1.33,1
9811915,K07232.01,,1.966828250,1.18,1
3338885,K01845.01,Kepler-975 b,1.970340203,3.97,2
6223324,K04274.01,,1.975074240,1.08,1
4750341,K04884.01,,1.975154570,0.92,1
1724513,K04224.01,,1.975208831,1.59,1
6520519,K04749.01,,1.976500730,0.97,1
10587105,K00339.01,Kepler-529 b,1.980356674,2.10,3
9873004,K07970.01,,1.985146350,1.28,1
2581191,K02203.01,,1.990426420,1.17,2
6863158,K07793.01,,1.994693540,0.46,1
6863187,K07794.01,,1.994923320,0.94,1
6545051,K02777.01,,1.995662930,1.11,1
6386784,K06700.01,,1.995672420,0.75,1
5026023,K08252.01,,1.996384230,0.59,1
11296724,K07437.01,,1.999724400,0.84,1
10227501,K00985.01,,2.002779769,1.42,1
6967430,K06801.01,,2.003837030,0.67,1
10397751,K02859.02,Kepler-1371 c,2.005414293,0.65,5
4072333,K02731.01,,2.007750531,1.64,1
3129238,K07645.01,,2.008706960,0.55,1
8709688,K03019.02,,2.012094000,0.99,2
12216278,K02565.01,,2.019486070,2.15,1
8616637,K00579.01,Kepler-190 b,2.019997006,1.46,2
6528141,K04340.01,,2.022658000,1.15,1
10068030,K00529.01,,2.023123903,2.87,1
10068024,K02891.01,,2.023126394,0.92,1
10982872,K00343.02,Kepler-142 b,2.024143568,1.94,3
6037581,K01916.03,Kepler-336 b,2.024820500,1.01,3
4247807,K03748.02,,2.024879340,1.00,2
7033233,K02339.01,Kepler-1197 b,2.032318856,1.12,2
12254378,K02387.01,Kepler-1217 b,2.032319072,1.87,1
11244137,K02994.01,Kepler-1402 b,2.033874830,1.60,1
10481054,K07333.01,,2.037427120,0.90,1
10481045,K02320.01,,2.037439420,0.82,1
10480921,K01173.01,,2.037440623,1.19,1
10480982,K00744.02,,2.037464140,1.12,2
10619142,K03082.01,,2.045167050,2.90,1
6523058,K04549.01,,2.048158200,1.16,1
12554634,K04714.01,,2.049602348,1.08,1
4247811,K04678.01,,2.050483770,0.66,1
10857519,K02075.01,Kepler-1084 b,2.053341891,1.44,1
11254382,K01425.01,Kepler-843 b,2.053884770,2.74,1
12885212,K02184.01,,2.057499811,1.27,2
8344004,K00573.02,Kepler-188 b,2.061908640,1.63,2
6975615,K01698.01,,2.065351521,1.03,1
8579684,K07594.01,,2.088027990,1.93,1
5436502,K00834.04,Kepler-238 b,2.090811305,1.62,5
10600261,K00597.02,Kepler-194 b,2.092271150,2.06,3
6364215,K02404.01,,2.100816290,1.65,2
3426367,K02662.01,Kepler-1308 b,2.104335340,0.79,1
9157634,K00526.01,Kepler-586 b,2.104721971,2.89,1
3328052,K03011.01,,2.115478540,1.66,1
3328027,K04174.01,,2.115488830,1.29,1
7022573,K03112.01,,2.118893997,1.41,1
5108214,K01924.01,,2.119130050,1.35,1
11127479,K02792.01,Kepler-1349 b,2.128216210,0.70,1
10155029,K03208.01,,2.131660527,0.56,1
9827149,K02586.01,Kepler-1282 b,2.131945045,1.66,2
6690082,K01240.01,Kepler-280 b,2.139556300,1.76,2
5024252,K04682.01,,2.150523320,1.17,1
8029197,K04147.01,,2.152927880,1.02,1
