kepid,kepoi_name,kepler_name,koi_period,koi_prad,koi_count
7287995,K00877.02,Kepler-81 c,12.039874880,2.18,3
7287995,K00877.03,Kepler-81 d,20.837628950,1.42,3
3247396,K00121.01,,8.811102200,63.66,1
7303253,K00878.01,Kepler-711 b,23.589171430,3.16,1
5094751,K00123.01,Kepler-109 b,6.481633073,2.54,2
7678434,K00892.01,Kepler-716 b,10.371689280,3.20,2
7678434,K00892.02,Kepler-716 c,3.969962980,1.78,2
7685981,K00893.01,Kepler-717 b,4.408413310,2.66,1
7708215,K00894.01,,7.942617600,4.68,1
7373451,K00881.02,Kepler-712 c,226.890477500,4.53,2
7377033,K00882.01,,1.956811408,21.58,1
7380537,K00883.01,,2.688899233,12.04,1
7434875,K00884.01,Kepler-247 c,9.439459486,4.16,3
8349582,K00122.01,Kepler-95 b,11.523067458,3.13,1
7434875,K00884.02,Kepler-247 d,20.477488430,2.92,3
7434875,K00884.03,Kepler-247 b,3.336123113,1.74,3
7455287,K00886.01,Kepler-54 b,8.010784560,1.72,3
7455287,K00886.02,Kepler-54 c,12.071342050,1.29,3
7455287,K00886.03,Kepler-54 d,20.995878720,1.30,3
7458762,K00887.01,Kepler-713 b,7.411131770,2.45,1
7552344,K00888.01,,1.000747038,4.14,1
757450,K00889.01,Kepler-75 b,8.884922995,10.51,1
7585481,K00890.01,Kepler-714 b,8.098889060,8.95,1
7663691,K00891.01,Kepler-715 b,10.006530120,3.52,1
5812701,K00012.01,Kepler-448 b,17.855221681,13.16,1
8013419,K00901.01,,12.732624065,4.87,1
8018547,K00902.01,,83.924940320,4.78,1
8039892,K00903.01,Kepler-719 b,5.007316661,6.96,1
8150320,K00904.01,Kepler-55 d,2.211116989,1.85,5
8150320,K00904.02,Kepler-55 b,27.954133700,1.90,5
11086270,K00124.01,Kepler-110 b,12.691043870,2.57,2
7767559,K00895.01,,4.409409243,10.95,1
7825899,K00896.01,Kepler-248 c,16.239470960,4.14,3
7825899,K00896.02,Kepler-248 b,6.308201629,2.96,3
7849854,K00897.01,Kepler-718 b,2.052349884,13.12,1
7870390,K00898.01,Kepler-83 b,9.770448600,2.23,3
7870390,K00898.02,Kepler-83 d,5.169804269,1.66,3
5094751,K00123.02,Kepler-109 c,21.222611950,2.48,2
7870390,K00898.03,Kepler-83 c,20.090170370,2.25,3
7907423,K00899.01,Kepler-249 c,7.113732570,1.16,3
7907423,K00899.02,Kepler-249 b,3.306551643,0.91,3
7907423,K00899.03,Kepler-249 d,15.368457370,1.11,3
7938496,K00900.01,Kepler-1730 b,13.810203180,4.56,1
8490993,K00911.01,Kepler-722 b,4.093578461,2.85,2
8490993,K00911.02,Kepler-722 c,105.145959000,3.43,2
8505670,K00912.01,Kepler-252 c,10.848451800,2.34,2
8505670,K00912.02,Kepler-252 b,6.668332410,1.18,2
8544996,K00913.01,Kepler-723 b,4.082274889,10.55,1
8552202,K00914.01,,3.886655224,1.87,1
8150320,K00904.03,Kepler-55 c,42.140608900,1.85,5
8150320,K00904.04,Kepler-55 e,4.617490562,1.62,5
8150320,K00904.05,Kepler-55 f,10.198492550,1.75,5
8180063,K00905.01,,5.795063956,4.33,1
8226994,K00906.01,Kepler-250 c,7.156815520,2.47,3
8226994,K00906.02,Kepler-250 d,17.648308510,2.43,3
8226994,K00906.03,Kepler-250 b,4.148107190,1.08,3
8247638,K00907.01,Kepler-251 c,16.514109890,2.72,4
8247638,K00907.02,Kepler-251 d,30.132929800,3.14,4
8247638,K00907.03,Kepler-251 b,4.790908090,1.36,4
11086270,K00124.02,Kepler-110 c,31.719810130,3.09,2
8247638,K00907.04,Kepler-251 e,99.641596200,2.64,4
8255887,K00908.01,Kepler-720 b,4.708326451,10.60,1
8256049,K00909.01,,16.371986610,540.37,1
8414716,K00910.01,Kepler-721 b,5.392026903,2.68,1
9140402,K00928.01,,2.494170338,2.42,1
9141746,K00929.01,Kepler-730 b,6.491682808,9.66,2
9159275,K00930.01,,3.044770796,24.54,1
9166862,K00931.01,Kepler-731 b,3.855603916,13.61,1
9166870,K00932.01,,3.855599139,3.57,1
11449844,K00125.01,Kepler-468 b,38.478766290,13.26,1
8605074,K00915.01,,37.601661282,27.22,1
8628973,K00916.01,Kepler-724 b,3.314947362,3.94,1
8655354,K00917.01,,6.719690890,4.37,1
8672910,K00918.01,Kepler-725 b,39.643155200,10.98,2
8686150,K00919.01,,51.425985780,29.66,1
8689031,K00920.01,Kepler-726 b,21.804516110,2.60,1
8689373,K00921.01,Kepler-253 c,10.281945930,2.53,3
8689373,K00921.02,Kepler-253 d,18.119930390,2.95,3
8689373,K00921.03,Kepler-253 b,3.784028670,1.70,3
8826878,K00922.01,Kepler-727 b,5.154481420,2.94,1
5897826,K00126.01,Kepler-469 b,33.803643660,20.70,2
8883593,K00923.01,Kepler-728 b,5.743469797,3.13,1
8951215,K00924.01,,39.475909300,4.06,1
9016295,K00925.01,,19.974485239,26.56,1
9077124,K00926.01,Kepler-729 b,3.166353562,3.82,1
9097120,K00927.01,,23.899634407,44.04,1
9466668,K00939.01,Kepler-256 c,3.388012244,2.11,4
9466668,K00939.02,Kepler-256 d,5.839097610,2.06,4
9466668,K00939.03,Kepler-256 b,1.620467654,1.57,4
9466668,K00939.04,Kepler-256 e,10.681695100,2.30,4
9479273,K00940.01,Kepler-734 b,6.104849417,3.18,1
8359498,K00127.01,Kepler-77 b,3.578780566,10.43,1
9171801,K00933.01,,3.187067566,23.88,1
9334289,K00934.01,Kepler-254 b,5.826657508,4.09,3
9334289,K00934.02,Kepler-254 c,12.412163470,2.58,3
9334289,K00934.03,Kepler-254 d,18.746490110,3.05,3
9347899,K00935.01,Kepler-31 b,20.860212290,5.50,4
9347899,K00935.02,Kepler-31 c,42.634278480,5.22,4
9347899,K00935.03,Kepler-31 d,87.647606800,4.00,4
9347899,K00935.04,,9.617314260,1.94,4
9388479,K00936.01,Kepler-732 b,9.467821474,2.13,2
9388479,K00936.02,Kepler-732 c,0.893040969,1.24,2
11359879,K00128.01,Kepler-15 b,4.942783419,10.62,1
9406990,K00937.01,Kepler-733 b,20.834267310,2.74,1
9415172,K00938.01,Kepler-255 c,9.946023570,3.12,3
9415172,K00938.02,Kepler-255 d,1.045621950,1.45,3
9415172,K00938.03,Kepler-255 b,5.714623960,1.78,3
9904059,K00145.01,,102.964195200,39.00,1
3231341,K01102.02,Kepler-24 b,8.145159810,3.43,4
3231341,K01102.03,Kepler-24 e,18.998527900,43.17,4
3231341,K01102.04,Kepler-24 d,4.244390490,2.07,4
2860866,K01103.01,,90.124050700,7.12,1
7626506,K00150.02,Kepler-112 c,28.574269200,2.32,2
10460629,K01168.01,,856.672115000,3.87,1
10319385,K01169.01,,0.689210173,1.32,1
10482160,K01170.01,Kepler-1739 b,7.343739640,1.84,1
10485069,K01171.01,,0.445277068,35.74,1
3233043,K00966.01,,0.379463865,59.56,2
6579806,K00967.01,,9.880479780,23.60,1
3560301,K00968.01,,4.648415600,5.06,1
4044005,K00969.01,,17.512014768,13.66,1
11502218,K00970.01,,3.988602100,34.39,1
11180361,K00971.01,,0.533059312,133.56,1
5802246,K01044.01,,0.525154153,23.61,1
6066403,K01045.01,,1.303861044,27.85,1
5988031,K01047.01,,2.555491760,23.35,1
7684873,K00014.01,,2.947376671,403.59,1
8559644,K00139.01,Kepler-111 c,224.778935500,7.67,2
2851100,K01104.01,,0.890110752,1.25,1
3130300,K01105.01,,5.765733960,7.47,1
3240158,K01106.01,Kepler-769 b,7.426081230,2.47,3
3240158,K01106.02,Kepler-769 c,15.986893200,1.62,3
3228959,K01107.01,,0.730945890,17.12,1
3218908,K01108.01,Kepler-770 b,18.925372460,13.92,3
10341913,K01172.01,,0.933749106,3.22,1
10480921,K01173.01,,2.037440623,1.19,1
10287723,K01174.01,,129995.778400000,2.99,1
10350571,K01175.01,Kepler-784 b,31.592580900,1.78,3
10350571,K01175.02,,17.157236000,1.55,3
3749365,K01176.01,Kepler-785 b,1.973760850,8.78,1
11013201,K00972.01,,13.118962443,8.25,2
11673674,K00133.01,,4.618767792,7.48,1
11013201,K00972.02,,7.821873280,2.78,2
9414417,K00974.01,,53.505761100,2.52,1
3632418,K00975.01,Kepler-21 b,2.785821236,1.69,1
3441784,K00976.01,,52.569018670,78.54,1
5820218,K01048.01,,3.411758679,14.71,1
5876368,K01049.01,,0.525426427,1.45,1
5809890,K01050.01,Kepler-755 b,1.269091415,1.41,2
5809890,K01050.02,Kepler-755 c,2.853133997,1.36,2
6131236,K01051.01,Kepler-1734 b,6.796853530,2.01,1
9048161,K00146.01,,8.667822346,67.37,1
3218908,K01108.02,Kepler-770 c,1.475323222,5.88,3
3218908,K01108.03,Kepler-770 d,4.152461180,7.62,3
3235672,K01109.01,,6.721078300,,1
2837111,K01110.01,Kepler-771 b,8.734885200,1.59,2
3120276,K01111.01,,10.265476880,1.81,1
2307199,K00151.01,,13.447179100,5.24,1
3547091,K01177.01,,3.305577989,25.89,1
3869825,K01178.01,,4.800653901,16.91,1
3655332,K01179.01,,15.066499010,56.44,1
4042026,K01180.01,,34.820081580,11.36,1
3344419,K01181.01,,0.651784374,33.65,1
11192141,K00977.01,,1.353771892,430.99,1
11494130,K00978.01,,18.954916330,71.39,1
5648449,K00979.01,,4.348866254,2436.69,1
12167361,K00980.01,,47.930945460,68.02,1
8607720,K00981.01,,3.997514220,2.98,1
1433962,K00982.01,,1.592633181,1.56,1
9032900,K00134.01,,67.592375400,12.10,1
5956342,K01052.01,Kepler-265 c,17.029027860,2.54,4
5956342,K01052.02,Kepler-265 b,6.846192360,1.67,4
5956342,K01052.03,Kepler-265 e,67.832163800,2.39,4
5956342,K01052.04,Kepler-265 d,43.131214700,2.39,4
5956656,K01053.01,Kepler-756 b,1.224866441,1.54,2
3109930,K01112.01,Kepler-1736 b,37.810264900,2.33,1
2854914,K01113.01,Kepler-268 b,25.934064060,2.48,2
